Area Name,Total
  Rushcliffe,114
 Central Bedfordshire,278
  South Cambridgeshire,156
  Brentwood,77
  Chelmsford,175
  Colchester,188
  Epping Forest,130
  Uttlesford,87
  Dacorum,152
  East Hertfordshire,146
  Hertsmere,103
  North Hertfordshire,134
  St Albans,147
  Three Rivers,93
  Forest Heath,63
  Bromley,327
  Richmond upon Thames,195
 Bracknell Forest,119
 West Berkshire,157
 Windsor and Maidenhead,150
 Wokingham,164
  Aylesbury Vale,192
  Chiltern,95
  South Bucks,68
  Wycombe,175
  Basingstoke and Deane,176
  East Hampshire,118
  Hart,95
  Test Valley,122
  Winchester,123
  Maidstone,165
  Sevenoaks,118
  Tonbridge and Malling,127
  Tunbridge Wells,118
  Cherwell,147
  South Oxfordshire,139
  Vale of White Horse,130
  West Oxfordshire,109
  Elmbridge,137
  Epsom and Ewell,78
  Guildford,145
  Mole Valley,86
  Reigate and Banstead,145
  Runnymede,86
  Spelthorne,98
  Surrey Heath,88
  Tandridge,87
  Waverley,123
  Woking,101
  Horsham,138
  Mid Sussex,146
  Newcastle upon Tyne,294
  Manchester,543
  Lancaster,142
  Preston,141
  Liverpool,487
 York,208
  Sheffield,574
  Leeds,780
 Nottingham,324
  Lincoln,98
  Warwick,139
  Coventry,353
  Cambridge,125
  Welwyn Hatfield,122
  Norwich,139
  Kingston upon Thames,172
 Brighton and Hove,287
 Portsmouth,213
 Reading,163
 Southampton,251
  Eastbourne,103
  Canterbury,162
  Oxford,155
 Bath and North East Somerset,187
 Bournemouth,194
" Bristol, City of",457
 Plymouth,263
  Exeter,127
  Cheltenham,118
  Cardiff / Caerdydd,362
 Northumberland,318
  Allerdale,97
  Eden,53
  South Lakeland,103
  Fylde,78
  Ribble Valley,57
  Wyre,109
 East Riding of Yorkshire,338
  Craven,56
  Hambleton,91
  Harrogate,161
  Richmondshire,54
  Ryedale,54
  Scarborough,109
 Rutland,38
  Derbyshire Dales,71
  East Lindsey,139
  North Kesteven,113
  West Lindsey,94
" Herefordshire, County of",189
 Shropshire,315
  Stratford-on-Avon,124
  Malvern Hills,76
  Tendring,143
  Breckland,136
  Great Yarmouth,99
  King's Lynn and West Norfolk,151
  North Norfolk,103
  Suffolk Coastal,128
  Waveney,116
 Isle of Wight,141
  Lewes,101
  Rother,94
  Wealden,158
  New Forest,179
  Dover,114
  Shepway,111
  Thanet,141
  Arun,156
  Chichester,119
 Cornwall,555
 Isles of Scilly,0
 North Somerset,213
 Torbay,133
  East Devon,139
  Mid Devon,79
  North Devon,94
  South Hams,85
  Teignbridge,130
  Torridge,66
  West Devon,55
  Christchurch,49
  East Dorset,89
  North Dorset,71
  Purbeck,46
  West Dorset,102
  Weymouth and Portland,64
  Cotswold,85
  Mendip,113
  Sedgemoor,122
  South Somerset,166
  Taunton Deane,115
  West Somerset,34
  Isle of Anglesey / Ynys Môn,69
  Gwynedd / Gwynedd,122
  Conwy / Conwy,117
  Denbighshire / Sir Ddinbych,94
  Powys / Powys,133
  Ceredigion / Ceredigeon,73
  Pembrokeshire / Sir Benfro,125
  Carmarthenshire / Sir Gaerfyrddin,186
  Monmouthshire / Sir Fynwy,93
 Leicester,350
  Birmingham,"1,128"
 Luton,216
  Lewisham,298
  Newham,345
  Barking and Dagenham,209
  Barnet,385
  Brent,326
  Croydon,384
  Ealing,345
  Enfield,331
  Greenwich,279
  Harrow,249
  Hillingdon,299
  Hounslow,268
  Merton,207
  Redbridge,301
  Waltham Forest,274
 Slough,147
  Camden,248
  City of London,0
  Hackney,273
  Hammersmith and Fulham,181
  Haringey,272
  Islington,232
  Kensington and Chelsea,157
  Lambeth,323
  Southwark,311
  Tower Hamlets,301
  Wandsworth,321
  Westminster,250
 County Durham,521
 Darlington,106
 Hartlepool,93
 Redcar and Cleveland,135
 Stockton-on-Tees,195
  Gateshead,203
  North Tyneside,203
  South Tyneside,149
  Sunderland,277
 Blackpool,140
 Halton,126
  Barrow-in-Furness,67
  Carlisle,108
  Copeland,69
  Wigan,323
  Rossendale,69
  Knowsley,148
  Sefton,275
  St. Helens,178
  Wirral,322
 North East Lincolnshire,160
  Barnsley,241
  Doncaster,309
  Rotherham,263
  Wakefield,336
  Bolsover,78
  Chesterfield,104
  Ashfield,124
  Mansfield,108
  Cannock Chase,97
  Tamworth,77
  Dudley,318
  Gosport,85
  Havant,124
  Wrexham / Wrecsam,136
  Swansea / Abertawe,246
  Neath Port Talbot / Castell-nedd Port Talbot,141
  Bridgend / Pen-y-bont ar Ogwr,143
  Rhondda Cynon Taf / Rhondda Cynon Taf,238
  Merthyr Tydfil / Merthyr Tudful,59
  Caerphilly / Caerffili,180
  Blaenau Gwent / Blaenau Gwent,69
  Torfaen / Tor-faen,92
 Cheshire East,378
 Cheshire West and Chester,336
 Warrington,210
  Stockport,291
  Chorley,113
  South Ribble,111
  West Lancashire,112
 North Lincolnshire,170
  Selby,86
  Amber Valley,125
  Erewash,114
  High Peak,92
  North East Derbyshire,100
  South Derbyshire,101
  Blaby,97
  Charnwood,177
  Harborough,90
  Hinckley and Bosworth,109
  Melton,50
  North West Leicestershire,98
  Oadby and Wigston,55
  South Holland,93
  South Kesteven,140
  Daventry,81
  East Northamptonshire,92
  South Northamptonshire,88
  Bassetlaw,114
  Broxtowe,111
  Gedling,116
  Newark and Sherwood,118
  East Staffordshire,116
  Lichfield,103
  Newcastle-under-Lyme,128
  South Staffordshire,112
  Stafford,135
  Staffordshire Moorlands,97
  North Warwickshire,62
  Solihull,213
  Bromsgrove,96
  Wychavon,123
  Wyre Forest,99
  East Cambridgeshire,88
  Fenland,100
  Huntingdonshire,176
  Braintree,151
  Castle Point,90
  Maldon,63
  Rochford,86
  Broadland,127
  South Norfolk,133
  Babergh,89
  Mid Suffolk,100
  St Edmundsbury,113
  Eastleigh,130
  Fareham,116
  Ashford,126
  Swale,145
  Adur,64
 Poole,150
 South Gloucestershire,276
 Wiltshire,492
  Forest of Dean,85
  Stroud,117
  Tewkesbury,88
  Flintshire / Sir y Fflint,154
  Vale of Glamorgan / Bro Morgannwg,129
 Middlesbrough,141
 Blackburn with Darwen,148
  Bolton,284
  Bury,188
  Oldham,232
  Rochdale,217
  Salford,248
  Tameside,224
  Trafford,234
  Burnley,87
  Hyndburn,79
  Pendle,90
" Kingston upon Hull, City of",261
  Bradford,532
  Calderdale,210
  Kirklees,435
 Derby,256
  Boston,67
  Corby,67
  Kettering,99
  Northampton,225
  Wellingborough,79
 Stoke-on-Trent,253
 Telford and Wrekin,175
  Nuneaton and Bedworth,127
  Rugby,105
  Sandwell,323
  Walsall,278
  Wolverhampton,259
  Redditch,84
  Worcester,102
 Bedford,168
 Peterborough,196
 Southend-on-Sea,180
 Thurrock,167
  Basildon,184
  Harlow,85
  Broxbourne,97
  Stevenage,88
  Watford,97
  Ipswich,138
  Bexley,245
  Havering,253
  Sutton,202
 Medway,277
 Milton Keynes,266
  Hastings,93
  Rushmoor,95
  Dartford,106
  Gravesham,105
  Crawley,111
  Worthing,109
 Swindon,218
  Gloucester,128
  Newport / Casnewydd,150
